test_error,train_cv_error,model,parameters,data_set
0.5912997719698299,0.6045867038237998,AdaBoostClassifier,"{""n_estimators"": 50}",database_25
0.6038622129436325,0.597085689430187,AdaBoostClassifier,"{""n_estimators"": 100}",database_30
0.5826771653543307,0.5803126809496236,AdaBoostClassifier,"{""n_estimators"": 50}",database_1
0.5904314159292036,0.5981063175815712,AdaBoostClassifier,"{""n_estimators"": 50}",database_5
0.5999146939645981,0.5942198098284901,AdaBoostClassifier,"{""n_estimators"": 50}",database_10
0.6001934235976789,0.6005216940819863,AdaBoostClassifier,"{""n_estimators"": 100}",database_15
0.6041003888299753,0.5974458585508406,AdaBoostClassifier,"{""n_estimators"": 100}",database_20
0.5826771653543307,0.5803126809496236,AdaBoostClassifier,"{""n_estimators"": 50}",database_1
0.5904314159292036,0.5981063175815712,AdaBoostClassifier,"{""n_estimators"": 50}",database_5
0.5999146939645981,0.5942198098284901,AdaBoostClassifier,"{""n_estimators"": 50}",database_10
0.6001934235976789,0.6005216940819863,AdaBoostClassifier,"{""n_estimators"": 100}",database_15
0.6041003888299753,0.5974458585508406,AdaBoostClassifier,"{""n_estimators"": 100}",database_20
