model,fold,n_picks,hit_rate,beat_spy_rate,mean_fwd_ret,mean_excess_ret,baseline_ret,spy_ret
GaussianNB,1,19,0.5263157894736842,0.47368421052631576,0.07808126625128553,-0.00517700791566619,0.00646488417794111,0.006285249997328705
GaussianNB,2,19,0.7894736842105263,0.3157894736842105,0.0706084564640864,-0.022201508970062834,0.07149914920720062,0.1057182889744048
GaussianNB,3,19,0.7894736842105263,0.5263157894736842,0.10292689425678536,0.0319937719073688,0.04753365427499041,0.07338999646332203
GaussianNB,4,19,0.631578947368421,0.3684210526315789,0.014537186436848901,-0.014016519416067495,0.05566477130904164,0.030057100347581925
GaussianNB,5,19,0.631578947368421,0.7368421052631579,0.09801382560455776,0.12380109109274169,0.014329526067871972,-0.03196608621205283
MLP,1,19,0.47368421052631576,0.5789473684210527,0.04049880940897016,0.004748077240626284,0.00646488417794111,0.006285249997328705
MLP,2,19,0.5789473684210527,0.3157894736842105,0.07879583790689253,-0.03610599097745864,0.07149914920720062,0.1057182889744048
MLP,3,19,0.7894736842105263,0.47368421052631576,0.07511517132235924,0.00022658348683556972,0.04753365427499041,0.07338999646332203
MLP,4,19,0.6842105263157895,0.5263157894736842,0.06915054027515287,0.040903435430325555,0.05566477130904164,0.030057100347581925
MLP,5,19,0.3157894736842105,0.3157894736842105,-0.05017549907876135,-0.01990858856577242,0.014329526067871972,-0.03196608621205283
RandomForest,1,19,0.47368421052631576,0.5789473684210527,0.027326815174723934,0.0177750723631322,0.00646488417794111,0.006285249997328705
RandomForest,2,19,0.6842105263157895,0.42105263157894735,0.09434205096457744,-0.016708590512874055,0.07149914920720062,0.1057182889744048
RandomForest,3,19,0.7368421052631579,0.47368421052631576,0.08351918023231068,0.0166018968267308,0.04753365427499041,0.07338999646332203
RandomForest,4,19,0.7368421052631579,0.47368421052631576,0.020235906377378106,-0.009897643209982914,0.05566477130904164,0.030057100347581925
RandomForest,5,19,0.3157894736842105,0.42105263157894735,-0.011105325921503637,0.03260051966590009,0.014329526067871972,-0.03196608621205283
XGBoost,1,19,0.5263157894736842,0.631578947368421,0.021791318573220926,0.022194606842319043,0.00646488417794111,0.006285249997328705
XGBoost,2,19,0.6842105263157895,0.42105263157894735,0.08253662093436787,-0.026902584124302693,0.07149914920720062,0.1057182889744048
XGBoost,3,19,0.8421052631578947,0.47368421052631576,0.11058621295812368,0.03858920075560988,0.04753365427499041,0.07338999646332203
XGBoost,4,19,0.7368421052631579,0.47368421052631576,0.023818252830117757,-0.010488221085083273,0.05566477130904164,0.030057100347581925
XGBoost,5,19,0.3157894736842105,0.47368421052631576,-0.01800052539276824,0.02122567516983053,0.014329526067871972,-0.03196608621205283
LightGBM,1,19,0.3157894736842105,0.47368421052631576,-0.019239676290401846,0.01155807277687643,0.00646488417794111,0.006285249997328705
LightGBM,2,19,0.7368421052631579,0.42105263157894735,0.10374414870596935,0.0018138452501689929,0.07149914920720062,0.1057182889744048
LightGBM,3,19,0.7894736842105263,0.42105263157894735,0.0881428061393884,0.018333947100798685,0.04753365427499041,0.07338999646332203
LightGBM,4,19,0.7894736842105263,0.5789473684210527,0.0585502025875836,0.022970485946027058,0.05566477130904164,0.030057100347581925
LightGBM,5,19,0.3157894736842105,0.42105263157894735,-0.013399111361313613,0.025827089201285174,0.014329526067871972,-0.03196608621205283
Stacked,1,19,0.2631578947368421,0.3157894736842105,-0.04540793815851283,-0.07463923714089807,0.00646488417794111,0.006285249997328705
Stacked,2,19,0.7894736842105263,0.5263157894736842,0.12949508153155673,0.011918660300678185,0.07149914920720062,0.1057182889744048
Stacked,3,19,0.8421052631578947,0.47368421052631576,0.10065134196880066,0.028654329766286808,0.04753365427499041,0.07338999646332203
Stacked,4,19,0.7368421052631579,0.5263157894736842,0.04328877179685957,0.012671901350365347,0.05566477130904164,0.030057100347581925
Stacked,5,19,0.2631578947368421,0.3684210526315789,-0.005072379038879768,0.03863346654852396,0.014329526067871972,-0.03196608621205283
