model,fold,n_train,n_test,accuracy,auc,precision,recall,f1
GaussianNB,1,61,58,0.4482758620689655,0.3726190476190475,0.48148148148148145,0.8666666666666667,0.6190476190476191
GaussianNB,2,119,58,0.5344827586206896,0.5102960102960102,0.42105263157894735,0.7619047619047619,0.5423728813559322
GaussianNB,3,177,58,0.6896551724137931,0.6774628879892037,0.5714285714285714,0.21052631578947367,0.3076923076923077
GaussianNB,4,235,58,0.39655172413793105,0.4086538461538462,0.38461538461538464,0.15625,0.2222222222222222
GaussianNB,5,293,58,0.6551724137931034,0.6146953405017921,0.7037037037037037,0.6129032258064516,0.6551724137931034
MLP,1,61,58,0.5344827586206896,0.5577380952380953,0.5483870967741935,0.5666666666666667,0.5573770491803278
MLP,2,119,58,0.39655172413793105,0.41119691119691115,0.26666666666666666,0.38095238095238093,0.3137254901960784
MLP,3,177,58,0.6724137931034483,0.6396761133603238,0.5,0.21052631578947367,0.2962962962962963
MLP,4,235,58,0.41379310344827586,0.5564903846153846,0.25,0.03125,0.05555555555555555
MLP,5,293,58,0.43103448275862066,0.2825567502986858,0.25,0.03225806451612903,0.05714285714285714
RandomForest,1,61,58,0.5517241379310345,0.6202380952380953,0.5370370370370371,0.9666666666666667,0.6904761904761905
RandomForest,2,119,58,0.6206896551724138,0.5855855855855855,0.4666666666666667,0.3333333333333333,0.3888888888888889
RandomForest,3,177,58,0.6379310344827587,0.6545209176788124,0.4375,0.3684210526315789,0.4
RandomForest,4,235,58,0.43103448275862066,0.44891826923076916,0.4666666666666667,0.21875,0.2978723404255319
RandomForest,5,293,58,0.43103448275862066,0.3936678614097969,0.4642857142857143,0.41935483870967744,0.4406779661016949
XGBoost,1,61,58,0.6379310344827587,0.6238095238095238,0.6285714285714286,0.7333333333333333,0.676923076923077
XGBoost,2,119,58,0.6551724137931034,0.6415701415701415,0.5384615384615384,0.3333333333333333,0.4117647058823529
XGBoost,3,177,58,0.6724137931034483,0.6410256410256411,0.5,0.47368421052631576,0.4864864864864865
XGBoost,4,235,58,0.4482758620689655,0.48377403846153844,0.5,0.25,0.3333333333333333
XGBoost,5,293,58,0.4827586206896552,0.45221027479091996,0.52,0.41935483870967744,0.4642857142857143
LightGBM,1,61,58,0.5172413793103449,0.5625,0.5384615384615384,0.4666666666666667,0.5
LightGBM,2,119,58,0.6379310344827587,0.620978120978121,0.5,0.3333333333333333,0.4
LightGBM,3,177,58,0.6206896551724138,0.6079622132253711,0.42105263157894735,0.42105263157894735,0.42105263157894735
LightGBM,4,235,58,0.5,0.4909855769230769,0.6363636363636364,0.21875,0.32558139534883723
LightGBM,5,293,58,0.46551724137931033,0.4229390681003584,0.5,0.3870967741935484,0.43636363636363634
Stacked,1,61,58,0.3620689655172414,0.4130952380952381,0.3157894736842105,0.2,0.24489795918367346
Stacked,2,119,58,0.5172413793103449,0.6164736164736164,0.4,0.6666666666666666,0.5
Stacked,3,177,58,0.6551724137931034,0.6167341430499326,0.47368421052631576,0.47368421052631576,0.47368421052631576
Stacked,4,235,58,0.46551724137931033,0.4861778846153846,0.5333333333333333,0.25,0.3404255319148936
Stacked,5,293,58,0.39655172413793105,0.36379928315412186,0.3,0.0967741935483871,0.14634146341463414
