feature,mean_abs_shap
num__mom_3m,0.58121437
num__log_assets,0.49180785
num__spy_vol_90d,0.48826423
num__rel_mom_3m,0.46303988
num__debt_to_equity,0.42264768
num__fcf_to_revenue,0.33628887
num__roe,0.2727705
num__mom_6m,0.26295698
num__cash_to_assets,0.26268405
num__vol_90d,0.25467464
num__roa,0.25287533
num__gross_margin,0.22479613
num__mom_12m,0.18662687
num__asset_turnover,0.18517461
num__spy_mom_3m,0.15857294
num__ocf_to_revenue,0.15403293
num__current_ratio,0.14937569
num__capex_to_revenue,0.14505155
num__interest_cov,0.13782062
num__net_margin,0.13755618
num__lt_debt_to_assets,0.12548146
num__op_margin,0.10955898
num__log_revenue,0.09107436
